Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
343,Batilikiki,,,Bakuna,Bakuna's Territories,Bakuna,Astellian Spirits,town,7414,402.02,580.38,-17,-86.34,472,26°C,Jakarta (Indonesia),,,citadel,,,,,{t1:azure;charges:[{charge:dragonRampant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Batilikiki&population=7414&size=28&seed=7742447050343&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
344,Birch Inia,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2930,1004.31,599,-19.86,6.03,30,27°C,Mogadishu (Somalia),,,citadel,,,,,{t1:argent;charges:[{charge:anchor;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Birch+Inia&population=2930&size=19&seed=7742447050344&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
345,Folastead,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,9603,1010.47,637.9,-25.82,6.97,4019,14°C,Washington (D.C.),,,,,,,,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:straight}];charges:[{charge:hand;t:argent;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Folastead&population=9603&size=30&seed=7742447050345&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
346,Bal'sherd,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,12880,1079.43,629.22,-24.49,17.55,1312,19°C,Marrakesh (Morocco),,port,,walls,,,,{t1:purpure;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:archer;t:gules;p:h;t2:gules;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bal%27sherd&population=12880&size=34&seed=7742447050346&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.42
347,Tularit Ward,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3383,1364.2,640.7,-26.25,61.22,4252,14°C,Washington (D.C.),,,,,,,,{t1:azure;division:{division:perPile;t:or;line:nebuly};charges:[{charge:skull;t:argent;p:abceh;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Tularit+Ward&population=3383&size=21&seed=7742447050347&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
348,Pas Inako,,,Bakuna,Bakuna's Territories,Bakuna,Astellian Spirits,town,2826,251.22,669.41,-30.66,-109.47,82,16°C,Dubrovnik (Croatia),,,,,,,,{t1:counterPotent-argent-azure;ordinaries:[{ordinary:saltire;t:vert;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Pas+Inako&population=2826&size=19&seed=7742447050348&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
349,Es Ha,,,Bakuna,Bakuna's Territories,Bakuna,Astellian Spirits,town,2094,316.49,660.33,-29.26,-99.46,118,16°C,Dubrovnik (Croatia),,,,walls,,,,{t1:azure;ordinaries:[{ordinary:flaunches;t:argent}];charges:[{charge:cowStatant;t:argent;p:beh;t2:argent;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Es+Ha&population=2094&size=17&seed=7742447050349&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
350,Dodiarorunt,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,3662,424.63,668.3,-30.49,-82.88,948,14°C,Washington (D.C.),,,,,,,,{t1:purpure;ordinaries:[{ordinary:terrace;t:argent;line:embattledGhibellin}];charges:[{charge:lionRampant;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dodiarorunt&population=3662&size=21&seed=7742447050350&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
351,Ciska,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,city,1577,889.51,675.77,-31.63,-11.58,13,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:gules;charges:[{charge:horseHeadCouped;t:or;p:jeo;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ciska&population=1577&size=15&seed=7742447050351&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.47
352,Tud'styrgas,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,3072,281.67,673.7,-31.32,-104.8,82,15°C,Rome (Italy),,,,,,,,{t1:argent;charges:[{charge:bell;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tud%27styrgas&population=3072&size=20&seed=7742447050352&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
353,Jualthorga,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,2052,677.56,680.8,-32.4,-44.08,30,15°C,Rome (Italy),,,,,,,,{t1:argent;division:{division:perPale;t:purpure;line:rayonne};charges:[{charge:heart;t:gules;p:ABCDEFGHIJKL;size:0.18};{charge:ladder;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Jualthorga&population=2052&size=17&seed=7742447050353&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
354,Baroe,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,8015,1215.34,673.72,-31.32,38.39,3153,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;charges:[{charge:key;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Baroe&population=8015&size=28&seed=7742447050354&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
355,Aga'de,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4304,1571.05,679.28,-32.17,92.95,397,14°C,Washington (D.C.),,,citadel,,,,,{t1:gules;charges:[{charge:bowWithThreeArrows;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aga%27de&population=4304&size=22&seed=7742447050355&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
356,Lolunstyrtan,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,7583,684.43,684.3,-32.94,-43.03,210,14°C,Washington (D.C.),,port,,,,,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:azure;line:straight}];charges:[{charge:anchor;t:or;p:lm;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Lolunstyrtan&population=7583&size=28&seed=7742447050356&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.38
357,Oaktofthrola,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,7400,258.6,703.96,-35.96,-108.34,118,11°C,Antwerp (Belgium),,,,,,,,{t1:gules;charges:[{charge:anchor;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Oaktofthrola&population=7400&size=28&seed=7742447050357&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
358,Foarn,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,5435,1116.41,741.53,-41.72,23.22,13,6°C,Stockholm (Sweden),,,,walls,,,,{t1:argent;charges:[{charge:stagLodgedRegardant;t:vert;p:jln;t2:vert;t3:vert;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Foarn&population=5435&size=25&seed=7742447050358&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
359,Voulia,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,5393,1338.56,752.04,-43.33,57.29,643,5°C,Harbin (China),,,citadel,,,,,{t1:azure;division:{division:perPale;t:argent;line:straight};charges:[{charge:crossPatteeAlisee;t:or;p:p;size:0.7};{charge:wolfHeadErased;t:purpure;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Voulia&population=5393&size=24&seed=7742447050359&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
360,Pilyward,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,3253,621.36,774.38,-46.75,-52.7,118,3°C,Tromsø (Norway),,,,,,,,{t1:azure;ordinaries:[{ordinary:terrace;t:argent;line:straight}];charges:[{charge:tree;t:argent;p:bdf;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Pilyward&population=3253&size=20&seed=7742447050360&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
361,Uxalalat,,,Quaspia,Quaspia,Quaspian,No religion,town,4554,1461.3,173.99,45.32,76.12,738,0°C,Murmansk (Russia),,,,,,,,{t1:argent;charges:[{charge:angel;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Uxalalat&population=4554&size=23&seed=7742447050361&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
362,Voud's'ala,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,8300,554.93,196.5,41.87,-62.89,643,3°C,Tromsø (Norway),,,,,,,,{t1:argent;ordinaries:[{ordinary:chevron;t:sable}];shield:heater},https://watabou.github.io/city-generator/?name=Voud%27s%27ala&population=8300&size=29&seed=7742447050362&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
363,Elag-Xacek,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,village,1071,1140.94,195.19,42.07,26.98,82,4°C,Reykjavik (Iceland),,,,walls,,,,{t1:azure;charges:[{charge:crossPattee;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1071&name=Elag-Xacek&seed=7742447050363&width=1400&height=683&style=snow&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
364,Daresialedar,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,3549,92.22,212.56,39.4,-133.86,13,6°C,Stockholm (Sweden),,,,,,,,{t1:gules;charges:[{charge:horseHeadCouped;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Daresialedar&population=3549&size=21&seed=7742447050364&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
365,Kolamiagasz,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,3666,163.7,212.65,39.39,-122.89,161,6°C,Stockholm (Sweden),,,,,,,,{t1:azure;division:{division:perPale;t:argent;line:straight};charges:[{charge:bridge;t:or;p:p;size:0.7};{charge:crossFormee2;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Kolamiagasz&population=3666&size=21&seed=7742447050365&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
366,Move,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,10396,216.84,224.83,37.52,-114.74,840,5°C,Harbin (China),,,,walls,,,,{t1:argent;division:{division:perBend;t:sable;line:straight};charges:[{charge:anchor;t:gules;p:lm;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Move&population=10396&size=31&seed=7742447050366&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
367,Korintia,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1005,463.75,221.62,38.01,-76.88,397,6°C,Stockholm (Sweden),,,,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:engrailed}];charges:[{charge:bow;t:gules;p:e;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1005&name=Korintia&seed=7742447050367&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
368,Chauselalo,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,8740,561.18,219.36,38.36,-61.93,161,7°C,Montreal (Canada),,,,,,,,{t1:argent;charges:[{charge:heart;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Chauselalo&population=8740&size=29&seed=7742447050368&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
369,Taszoft,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,982,701.94,219.39,38.36,-40.34,13,7°C,Montreal (Canada),,,,,,,,{t1:azure;division:{division:perPale;t:or;line:firTrees};charges:[{charge:skull;t:argent;p:p;size:0.7};{charge:crescent;t:purpure;p:q;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=982&name=Taszoft&seed=7742447050369&width=1000&height=488&style=default&tags=isolated%2Cno+square%2Cdense
370,Bal-Go,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,town,7800,1248.44,218.79,38.45,43.47,266,6°C,Stockholm (Sweden),,port,,,,,,{t1:gules;ordinaries:[{ordinary:point;t:or}];charges:[{charge:pineCone;t:or;p:bdf;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bal-Go&population=7800&size=28&seed=7742447050370&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
371,Kolas Tromu,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,957,1188.77,234.92,35.97,34.32,266,8°C,Prague (Czechia),,,,,,,,{t1:honeycombed-argent-vert;charges:[{charge:crossBottony;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=957&name=Kolas+Tromu&seed=7742447050371&width=1000&height=488&style=default&tags=river%2Chighway%2Cno+square%2Cdense
372,Qulzujak-Go,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,town,5585,1345.01,231.58,36.49,58.28,2051,5°C,Harbin (China),,,,,,,,{t1:gules;ordinaries:[{ordinary:pale;t:or;line:potentyDexter}];charges:[{charge:mapleLeaf;t:azure;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Qulzujak-Go&population=5585&size=25&seed=7742447050372&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
373,Kohorgile,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,2031,518.54,247.97,33.97,-68.47,2572,6°C,Stockholm (Sweden),,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:orle;t:sable}];charges:[{charge:helmetGreat;t:gules;p:e;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Kohorgile&population=2031&size=17&seed=7742447050373&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
374,Quilastead,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,14866,701.24,254.74,32.93,-40.45,82,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;division:{division:perPale;t:vert;line:straight};ordinaries:[{ordinary:pallReversed;t:gules;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Quilastead&population=14866&size=36&seed=7742447050374&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
375,Havatope In,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,10107,1025.57,244.22,34.55,9.29,30,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;charges:[{charge:lochaberAxe;t:gules;p:jln;t2:gules;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Havatope+In&population=10107&size=31&seed=7742447050375&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
376,Bras Pil,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,6260,1175.43,251.41,33.45,32.27,328,10°C,London (England),,,,,,,,{t1:argent;charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bras+Pil&population=6260&size=26&seed=7742447050376&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
377,Carory Pil,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,7852,1657.79,258.31,32.39,106.25,118,11°C,Antwerp (Belgium),,port,,,,,,{t1:argent;charges:[{charge:dolphin;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Carory+Pil&population=7852&size=28&seed=7742447050377&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.87
378,Thaliale,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,8712,346.59,263.19,31.64,-94.84,840,10°C,London (England),,,,,,,,{t1:argent;division:{division:perBendSinister;t:azure;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Thaliale&population=8712&size=29&seed=7742447050378&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
379,Zuk-Go,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,town,2993,1512.15,257.47,32.52,83.92,3573,5°C,Harbin (China),,,,,,,,{t1:or;charges:[{charge:crossOccitan;t:azure;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Zuk-Go&population=2993&size=20&seed=7742447050379&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
380,Rapala-Tru,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,village,1552,1542.15,261.95,31.83,88.52,3573,5°C,Harbin (China),,,,,,,,{t1:fretty-sable-or-smaller;division:{division:chevronny;t:argent};ordinaries:[{ordinary:pall;t:azure}];shield:heater},https://watabou.github.io/village-generator/?pop=1552&name=Rapala-Tru&seed=7742447050380&width=1600&height=780&style=snow&tags=highway%2Cno+square%2Cdense
381,North Gily,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1066,744.3,270.34,30.54,-33.85,118,15°C,Rome (Italy),,,,,,,,{t1:argent;charges:[{charge:cock;t:vert;p:e;t2:vert;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1066&name=North+Gily&seed=7742447050381&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
382,Jualow Gil,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1074,1336.91,279.12,29.2,57.04,1890,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;charges:[{charge:lionSejant;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1074&name=Jualow+Gil&seed=7742447050382&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
383,Gilydaniza,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,3278,744.41,294.75,26.8,-33.83,266,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;charges:[{charge:scale;t:vert;p:jeo;t2:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gilydaniza&population=3278&size=20&seed=7742447050383&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
384,West Pil,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,7648,1127.16,285.1,28.28,24.87,52,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:argent;division:{division:perPale;t:gules;line:straight};charges:[{charge:cowHorns;t:purpure;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=West+Pil&population=7648&size=28&seed=7742447050384&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
385,Ba-Quri,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,village,1012,1488.84,292.31,27.17,80.34,3360,10°C,London (England),,,,,,,,{t1:sable;ordinaries:[{ordinary:bend;t:argent;line:straight}];charges:[{charge:billet;t:azure;p:joe;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1012&name=Ba-Quri&seed=7742447050385&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
386,Nandell,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,4211,1732.24,292.51,27.14,117.67,82,17°C,Lisbon (Portugal),,,,walls,,,,{t1:sable;charges:[{charge:arbalest2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nandell&population=4211&size=22&seed=7742447050386&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
387,Upaka-Ro-Qu,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,town,4549,1516.04,300.26,25.95,84.51,3573,12°C,Paris (France),,,citadel,,,,,{t1:gules;division:{division:perPale;t:argent;line:urdy};charges:[{charge:lighthouse;t:or;p:p;t2:or;t3:or;size:0.7};{charge:crossPatonce;t:azure;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Upaka-Ro-Qu&population=4549&size=23&seed=7742447050387&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
388,Waror,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,7302,533.46,321.53,22.69,-66.18,3793,12°C,Paris (France),,,,,,,,{t1:gules;charges:[{charge:escallop;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Waror&population=7302&size=27&seed=7742447050388&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
389,Voud'szaltal,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,2269,684.63,316.8,23.42,-43,1312,17°C,Lisbon (Portugal),,,,,,,,{t1:or;charges:[{charge:portcullis;t:gules;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Voud%27szaltal&population=2269&size=18&seed=7742447050389&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
390,Pagari,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,village,1022,1544.31,318.7,23.13,88.85,2218,16°C,Dubrovnik (Croatia),,,,,,,,{t1:or;charges:[{charge:lamb;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1022&name=Pagari&seed=7742447050390&width=1400&height=683&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
391,Porthorden,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1077,325.99,326.28,21.96,-98,2759,17°C,Lisbon (Portugal),,,,,,,,{t1:vert;division:{division:perFess;t:or;line:straight};charges:[{charge:lanceHead;t:argent;p:jkl;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1077&name=Porthorden&seed=7742447050391&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
392,Zin'stead,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1821,424.96,333.3,20.89,-82.82,840,20°C,Alexandria (Egypt),,,citadel,,,,,{t1:vert;ordinaries:[{ordinary:chief;t:argent;line:wavy}];charges:[{charge:anchor;t:purpure;p:abc;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1821&name=Zin%27stead&seed=7742447050392&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
393,Grory,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,10398,1087.92,367.65,15.62,18.85,161,27°C,Mogadishu (Somalia),,,,walls,,,,{t1:argent;division:{division:perFess;t:vert;line:wavy};ordinaries:[{ordinary:pale;t:gules;line:straight;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Grory&population=10398&size=31&seed=7742447050393&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
394,Anathofthor,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1437,1730.22,370.11,15.24,117.36,118,27°C,Mogadishu (Somalia),,,,,,,,{t1:argent;ordinaries:[{ordinary:pale;t:sable;line:nowyReversed}];charges:[{charge:inescutcheon;t:argent;p:e;size:0.7};{charge:comet;t:purpure;p:e;size:0.35}];shield:heater},https://watabou.github.io/village-generator/?pop=1437&name=Anathofthor&seed=7742447050394&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
395,Sas Pond,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,11508,1501.14,385.44,12.89,82.23,397,26°C,Jakarta (Indonesia),,,citadel,walls,,,,{t1:azure;ordinaries:[{ordinary:fessCotissed;t:argent;line:wavy}];charges:[{charge:annulet;t:azure;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Sas+Pond&population=11508&size=33&seed=7742447050395&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
396,Ilese Gil,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,15946,1172.3,399.7,10.7,31.79,161,28°C,Bangkok (Thailand),,,citadel,walls,,,,{t1:azure;charges:[{charge:crosslet;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ilese+Gil&population=15946&size=37&seed=7742447050396&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
